text,code,type,label,num-vars
Concatenate elements of a list 'x' of multiple integers to a single integer,"sum(d * 10 ** i for i, d in enumerate(x[::-1]))",<int-list>,20,1
convert a list of integers into a single integer,"r = int(''.join(map(str, x)))",<int-list>,20,1
convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f',"datetime.datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')",<datetime-str>,18,0
get the average of a list values for each key in dictionary `d`),"[(i, sum(j) / len(j)) for i, j in list(d.items())]",<list-dict>,5,1
"zip two lists `[1, 2]` and `[3, 4]` into a list of two tuples containing elements at the same index in each list","zip([1, 2], [3, 4])",<int-list>,20,0
prepend string 'hello' to all items in list 'a',['hello{0}'.format(i) for i in a],<list>,6,1
regex for repeating words in a string `s`,"re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)",<str>,2,1
swap values in a tuple/list inside a list `mylist`,"map(lambda t: (t[1], t[0]), mylist)",<tuple-list>,19,1
Swap values in a tuple/list in list `mylist`,"[(t[1], t[0]) for t in mylist]",<tuple-list>,19,1
"find all occurrences of the pattern '\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+' within `strs`","re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)",<str>,2,1
"generate the combinations of 3 from a set `{1, 2, 3, 4}`","(list(itertools.combinations({1, 2, 3, 4}, 3)))",<set>,16,0
"Convert a datetime object `my_datetime` into readable format `%B %d, %Y`","my_datetime.strftime('%B %d, %Y')",<datetime>,3,1
parse string `s` to int when string contains a number,int(''.join(c for c in s if c.isdigit())),<int-str>,0,1
add dictionary `{'class': {'section': 5}}` to key 'Test' of dictionary `dic`,dic['Test'].update({'class': {'section': 5}}),<nested-dict>,14,0
transforming the string `s` into dictionary,"dict(map(int, x.split(':')) for x in s.split(','))",<str>,2,1
"build a dictionary containing the conversion of each list in list `[['two', 2], ['one', 1]]` to a key/value pair as its items","dict([['two', 2], ['one', 1]])",<nested-list>,8,0
convert list `l` to dictionary having each two adjacent elements as key/value pair,"dict(zip(l[::2], l[1::2]))",<list>,6,1
assign float 9.8 to variable `GRAVITY`,GRAVITY = 9.8,<float>,4,0
"separate numbers from characters in string ""30m1000n20m""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')",<int-str>,0,0
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+|[A-Z])', '20M10000N80M')",<int-str>,0,0
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')",<int-str>,0,0
"Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')",<str>,2,0
Convert string '03:55' into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()",<datetime-str>,18,0
map two lists `keys` and `values` into a dictionary,"new_dict = {k: v for k, v in zip(keys, values)}",<list>,6,2
map two lists `keys` and `values` into a dictionary,"dict((k, v) for k, v in zip(keys, values))",<list>,6,2
map two lists `keys` and `values` into a dictionary,"dict([(k, v) for k, v in zip(keys, values)])",<list>,6,2
find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)",<str>,2,1
append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`,"list3 = [(a + b) for a, b in zip(list1, list2)]",<int-list>,20,2
sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"(sorted(student_tuples, key=lambda t: (-t[2], t[0])))",<tuple-list>,19,1
get list of duplicated elements in range of 3,"[y for x in range(3) for y in [x, x]]",<int>,9,0
divide each element in list `myList` by integer `myInt`,myList[:] = [(x / myInt) for x in myList],<int-list>,20,2
python: dots in the name of variable in a format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})",<str>,2,0
convert date `my_date` to datetime,"datetime.datetime.combine(my_date, datetime.time.min)",<datetime>,3,1
convert tuple `tst` to string `tst2`,tst2 = str(tst),<tuple>,17,1
split string `string` on whitespaces using a generator,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))",<str>,2,1
Unpack each value in list `x` to its placeholder '%' in string '%.2f',""""""", """""".join(['%.2f'] * len(x))",<list>,6,1
match regex pattern '(\\d+(\\.\\d+)?)' with string '3434.35353',"(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))",<str>,2,0
create a list `result` containing elements form list `list_a` if first element of list `list_a` is in list `list_b`,result = [x for x in list_a if x[0] in list_b],<list>,6,2
"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","([''.join(a) for a in itertools.combinations(['hel', 'lo', 'bye'], 2)])",<str-list>,7,0
get a list of items form nested list `li` where third element of each item contains string 'ar',[x for x in li if 'ar' in x[2]],<nested-list>,8,1
Sort lists in the list `unsorted_list` by the element at index 3 of each list,unsorted_list.sort(key=lambda x: x[3]),<nested-list>,8,1
Sort dictionary `x` by value in ascending order,"sorted(list(x.items()), key=operator.itemgetter(1))",<int-dict>,11,1
Sort dictionary `dict1` by value in ascending order,"sorted(dict1, key=dict1.get)",<int-dict>,11,1
Sort dictionary `d` by value in descending order,"sorted(d, key=d.get, reverse=True)",<int-dict>,11,1
Sort dictionary `d` by value in ascending order,"sorted(list(d.items()), key=(lambda x: x[1]))",<int-dict>,11,1
move the last item in list `a` to the beginning,a = a[-1:] + a[:-1],<list>,6,1
Parse DateTime object `datetimevariable` using format '%Y-%m-%d',datetimevariable.strftime('%Y-%m-%d'),<datetime>,3,1
Normalize line ends in a string 'mixed',"mixed.replace('\r\n', '\n').replace('\r', '\n')",<str>,2,1
index a list `L` with another list `Idx`,T = [L[i] for i in Idx],<list>,6,2
Get a list of lists with summing the values of the second element from each list of lists `data`,[[sum([x[1] for x in i])] for i in data],<nested-list>,8,1
summing the second item in a list of lists of lists,[sum([x[1] for x in i]) for i in data],<nested-list>,8,1
return a DateTime object with the current UTC date,today = datetime.datetime.utcnow().date(),<datetime>,3,0
create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]",<int-list>,20,2
fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)",<str>,2,1
match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)",<str>,2,1
create a list `listofzeros` of `n` zeros,listofzeros = [0] * n,<int>,9,1
decode the string 'stringnamehere'  to UTF-8,"stringnamehere.decode('utf-8', 'ignore')",<int-str>,0,1
Match regex pattern '((?:A|B|C)D)' on string 'BDE',"re.findall('((?:A|B|C)D)', 'BDE')",<str>,2,0
Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,"dic.setdefault(key, []).append(value)",<dict>,12,1
extend dictionary `a` with key/value pairs of dictionary `b`,a.update(b),<dict>,12,2
removing key values pairs with key 'mykey1' from a list of dictionaries `mylist`,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]",<dict-list>,1,1
Removing key values pairs from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]",<dict-list>,1,1
create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york',"[value for key, value in list(programs.items()) if 'new york' in key.lower()]",<str-dict>,13,1
get all digits in a string `s` after a '[' character,"re.findall('\\d+(?=[^[]+$)', s)",<str>,2,1
find out the number of non-matched elements at the same index of list `a` and list `b`,"sum(1 for i, j in zip(a, b) if i != j)",<list>,6,2
make all keys lowercase in dictionary `d`,"d = {(a.lower(), b): v for (a, b), v in list(d.items())}",<str-dict>,13,1
sort list `list_` based on first element of each tuple and by the length of the second element of each tuple,"list_.sort(key=lambda x: [x[0], len(x[1]), x[1]])",<tuple-list>,19,1
trim whitespace in string `s`,s.strip(),<str>,2,1
trim whitespace (including tabs) in `s` on the left side,s = s.lstrip(),<str>,2,1
trim whitespace (including tabs) in `s` on the right side,s = s.rstrip(),<str>,2,1
trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r'),<str>,2,1
trim whitespaces (including tabs) in string `s`,"(re.sub('[\\s+]', '', s))",<str>,2,1
replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)",<str>,2,1
get the maximum of 'salary' and 'bonus' values in a dictionary,"(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))",<nested-dict>,14,1
split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')",<str>,2,0
get list of sums of neighboring integers in string `example`,"[sum(map(int, s)) for s in example.split()]",<int-str>,0,1
Get all the keys from dictionary `y` whose value is `1`,[i for i in y if y[i] == 1],<int-dict>,11,1
converting byte string `c` in unicode string,c.decode('unicode_escape'),<int-str>,0,1
"add key ""item3"" and value ""3"" to dictionary `default_data `",default_data['item3'] = 3,<dict>,12,1
"add key ""item3"" and value ""3"" to dictionary `default_data `","default_data.update({'item3': 3, })",<dict>,12,1
"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })",<dict>,12,1
Get the first and last 3 elements of list `l`,l[:3] + l[-3:],<list>,6,1
"For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.",[a[x].append(b[x]) for x in range(3)],<list>,6,2
add character '@' after word 'get' in string `text`,"text = re.sub('(\\bget\\b)', '\\1@', text)",<str>,2,1
"update dictionary `b`, overwriting values where keys are identical, with contents of dictionary `d`",b.update(d),<dict>,12,2
add unicode string '1' to UTF-8 decoded string '\xc2\xa3',('\xc2\xa3' + '1'),<str>,2,0
lower-case the string obtained by replacing the occurrences of regex pattern '(?<=[a-z])([A-Z])' in string `s` with replacement '-\\1',"re.sub('(?<=[a-z])([A-Z])', '-\\1', s).lower()",<str>,2,1
format an integer `num` using string formatting,"""""""{0:.3g}"""""".format(num)",<int>,9,1
convert radians 1 to degrees,math.cos(math.radians(1)),<float>,4,0
count the number of integers in list `a`,"sum(isinstance(x, int) for x in a)",<list>,6,1
replacing  '\u200b' with '*' in a string  using regular expressions,"'used\u200b'.replace('\u200b', '*')",<str>,2,0
sum of squares values in a list `l`,sum(i * i for i in l),<int-list>,20,1
calculate the sum of the squares of each value in list `l`,"sum(map(lambda x: x * x, l))",<int-list>,20,1
Create a dictionary `d` from list `iterable`,"d = dict(((key, value) for (key, value) in iterable))",<tuple-list>,19,1
Create a dictionary `d` from list `iterable`,"d = {key: value for (key, value) in iterable}",<tuple-list>,19,1
Create a dictionary `d` from list of key value pairs `iterable`,"d = {k: v for (k, v) in iterable}",<tuple-list>,19,1
return a random word from a word list 'words',(random.choice(words)),<str-list>,7,1
Find a max value of the key `count` in a nested dictionary `d`,"max(d, key=lambda x: d[x]['count'])",<nested-dict>,14,1
"get list of string elements in string `data` delimited by commas, putting `0` in place of empty strings","[(int(x) if x else 0) for x in data.split(',')]",<str>,2,1
"split string `s` into a list of strings based on ',' then replace empty strings with zero",""""""","""""".join(x or '0' for x in s.split(','))",<str>,2,1
check if date `yourdatetime` is equal to today's date,yourdatetime.date() == datetime.datetime.today().date(),<datetime>,3,1
print bold text 'Hello',('\x1b[1m' + 'Hello'),<str>,2,0
remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv',"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')",<str>,2,0
"Define a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']",<str-list>,7,0
substitute multiple whitespace with single whitespace in string `mystring`,""""""" """""".join(mystring.split())",<str>,2,1
print a floating point number 2.345e-67 without any truncation,('{:.100f}'.format(2.345e-67)),<float>,4,0
Check if key 'key1' in `dict`,('key1' in dict),<dict>,12,1
Check if key 'a' in `d`,('a' in d),<dict>,12,1
Check if key 'c' in `d`,('c' in d),<dict>,12,1
"insert ' ' between every three digit before '.' and replace ',' with '.' in 12345678.46","format(12345678.46, ',').replace(',', ' ').replace('.', ',')",<float>,4,0
reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)",<list-dict>,5,1
Sort dictionary `u` in ascending order based on second elements of its values,"sorted(list(u.items()), key=lambda v: v[1])",<int-dict>,11,1
reverse sort dictionary `d` based on its values,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)",<int-dict>,11,1
sorting a defaultdict `d` by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])",<int-dict>,11,1
divide the values with same keys of two dictionary `d1` and `d2`,{k: (float(d2[k]) / d1[k]) for k in d2},<int-dict>,11,2
