text,code,label
Concatenate elements of a list 'x' of multiple integers to a single integer,"sum(d * 10 ** i for i, d in enumerate(x[::-1]))",0
convert a list of integers into a single integer,"r = int(''.join(map(str, x)))",0
convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f',"datetime.datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')",1
get the average of a list values for each key in dictionary `d`,"[(i, sum(j) / len(j)) for i, j in list(d.items())]",2
"zip two lists `[1, 2]` and `[3, 4]` into a list of two tuples containing elements at the same index in each list","zip([1, 2], [3, 4])",0
prepend string 'hello' to all items in list 'a',['hello{0}'.format(i) for i in a],0
regex for repeating words in a string `s`,"re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)",1
swap values in a tuple/list inside a list `mylist`,"map(lambda t: (t[1], t[0]), mylist)",0
Swap values in a tuple/list in list `mylist`,"[(t[1], t[0]) for t in mylist]",0
"find all occurrences of the pattern '\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+' within `strs`","re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)",1
"Convert a datetime object `my_datetime` into readable format `%B %d, %Y`","my_datetime.strftime('%B %d, %Y')",4
parse string `s` to int when string contains a number,"num(''.join(c for c in s if c.isdigit()))",1
add dictionary `{'class': {'section': 5}}` to key 'Test' of dictionary `dic`,dic['Test'].update({'class': {'section': 5}}),2
transforming the string `s` into dictionary,"dict(map(int, x.split(':')) for x in s.split(','))",1
"build a dictionary containing the conversion of each list in list `[['two', 2], ['one', 1]]` to a key/value pair as its items","dict([['two', 2], ['one', 1]])",0
convert list `l` to dictionary having each two adjacent elements as key/value pair,"dict(zip(l[::2], l[1::2]))",0
assign float 9.8 to variable `GRAVITY`,GRAVITY = 9.8,3
"separate numbers from characters in string ""30m1000n20m""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')",1
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+|[A-Z])', '20M10000N80M')",1
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')",1
"Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')",1
Convert string '03:55' into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()",1
map two lists `keys` and `values` into a dictionary,"new_dict = {k: v for k, v in zip(keys, values)}",0
map two lists `keys` and `values` into a dictionary,"dict((k, v) for k, v in zip(keys, values))",0
map two lists `keys` and `values` into a dictionary,"dict([(k, v) for k, v in zip(keys, values)])",0
find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)",1
append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`,"list3 = [(a + b) for a, b in zip(list1, list2)]",0
sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"(sorted(student_tuples, key=lambda t: (-t[2], t[0])))",0
