Concatenate elements of a list 'x' of multiple integers to a single integer,"sum(d * 10 ** i for i, d in enumerate(x[::-1]))","{'x': ['list[int]']}",<class 'int'>
convert a list of integers into a single integer,"r = int(''.join(map(str, x)))","{'x': ['list[int]']}",<class 'int'>
convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f',"datetime.datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')",{},<class 'datetime.datetime'>
get the average of a list values for each key in dictionary `d`),"[(i, sum(j) / len(j)) for i, j in list(d.items())]","{'d': ['int-dict']}",<class 'list'>
"zip two lists `[1, 2]` and `[3, 4]` into a list of two tuples containing elements at the same index in each list","zip([1, 2], [3, 4])",{},<class 'zip'>
prepend string 'hello' to all items in list 'a',['hello{0}'.format(i) for i in a],"{'a': ['list[int]', 'list[str]', 'list[bool]']}",<class 'list'>
regex for repeating words in a string `s`,"re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)","{'s': ['str', 'int-str']}",<class 'str'>
swap values in a tuple/list inside a list `mylist`,"map(lambda t: (t[1], t[0]), mylist)","{'mylist': ['list[tuple]']}",<class 'map'>
Swap values in a tuple/list in list `mylist`,"[(t[1], t[0]) for t in mylist]","{'mylist': ['list[tuple]']}",<class 'list'>
"find all occurrences of the pattern '\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+' within `strs`","re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)","{'strs': ['str', 'int-str']}",<class 'list'>
"generate the combinations of 3 from a set `{1, 2, 3, 4}`","(list(itertools.combinations({1, 2, 3, 4}, 3)))",{},<class 'list'>
"Convert a datetime object `my_datetime` into readable format `%B %d, %Y`","my_datetime.strftime('%B %d, %Y')","{'my_datetime': ['datetime.datetime']}",<class 'str'>
parse string `s` to int when string contains a number,int(''.join(c for c in s if c.isdigit())),{'s': ['int-str']},<class 'int'>
add dictionary `{'class': {'section': 5}}` to key 'Test' of dictionary `dic`,dic['Test'].update({'class': {'section': 5}}),"{'dic': ['nested-dict']}",<class 'dict'>
transforming the string `s` into dictionary,"dict(map(int, x.split(':')) for x in s.split(','))","{'s': ['int-str', 'str']}",<class 'dict'>
"build a dictionary containing the conversion of each list in list `[['two', 2], ['one', 1]]` to a key/value pair as its items","dict([['two', 2], ['one', 1]])",{},<class 'dict'>
convert list `l` to dictionary having each two adjacent elements as key/value pair,"dict(zip(l[::2], l[1::2]))","{'l': ['list[int]', 'list[str]', 'list[bool]']}",<class 'dict'>
assign float 9.8 to variable `GRAVITY`,GRAVITY = 9.8,{},<class 'float'>
"separate numbers from characters in string ""30m1000n20m""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')",{},<class 'list'>
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+|[A-Z])', '20M10000N80M')",{},<class 'list'>
separate numbers and characters in string '20M10000N80M',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')",{},<class 'list'>
"Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')",{},<class 'list'>
Convert string '03:55' into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()",{},<class 'datetime.time'>
map two lists `keys` and `values` into a dictionary,"new_dict = {k: v for k, v in zip(keys, values)}","{'keys': ['list[int]', 'list[str]', 'list[bool]'], 'values': ['list[int]', 'list[str]', 'list[bool]']}",<class 'dict'>
map two lists `keys` and `values` into a dictionary,"dict((k, v) for k, v in zip(keys, values))","{'keys': ['list[int]', 'list[str]', 'list[bool]'], 'values': ['list[int]', 'list[str]', 'list[bool]']}",<class 'dict'>
map two lists `keys` and `values` into a dictionary,"dict([(k, v) for k, v in zip(keys, values)])","{'keys': ['list[int]', 'list[str]', 'list[bool]'], 'values': ['list[int]', 'list[str]', 'list[bool]']}",<class 'dict'>
find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)","{'s': ['str', 'int-str']}",<class 'NoneType'>
append the sum of each tuple pair in the grouped list `list1` and list `list2` elements to list `list3`,"list3 = [(a + b) for a, b in zip(list1, list2)]","{'list1': ['list[int]'], 'list2': ['list[int]']}",<class 'list'>
sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"(sorted(student_tuples, key=lambda t: (-t[2], t[0])))","{'student_tuples': ['list[tuple]']}",<class 'list'>
get list of duplicated elements in range of 3,"[y for x in range(3) for y in [x, x]]",{},<class 'list'>
divide each element in list `myList` by integer `myInt`,myList[:] = [(x / myInt) for x in myList],"{'myList': ['list[int]'], 'myInt': ['int']}",<class 'list'>
python: dots in the name of variable in a format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})",{},<class 'str'>
convert date `my_date` to datetime,"datetime.datetime.combine(my_date, datetime.time.min)","{'my_date': ['datetime.datetime']}",<class 'datetime.datetime'>
convert tuple `tst` to string `tst2`,tst2 = str(tst),"{'tst': ['tuple']}",<class 'str'>
split string `string` on whitespaces using a generator,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))","{'string': ['str', 'int-str']}",<class 'generator'>
Unpack each value in list `x` to its placeholder '%' in string '%.2f',""""""", """""".join(['%.2f'] * len(x))","{'x': ['list[int]', 'list[str]', 'list[bool]']}",<class 'str'>
match regex pattern '(\\d+(\\.\\d+)?)' with string '3434.35353',"(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))",{},<class 'str'>
create a list `result` containing elements form list `list_a` if first element of list `list_a` is in list `list_b`,result = [x for x in list_a if x[0] in list_b],"{'list_a': ['list[str]', 'list[int]', 'list[bool]'], 'list_b': ['list[str]', 'list[int]', 'list[bool]']}",<class 'list'>
"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","([''.join(a) for a in itertools.combinations(['hel', 'lo', 'bye'], 2)])",{},<class 'list'>
get a list of items form nested list `li` where third element of each item contains string 'ar',[x for x in li if 'ar' in x[2]],"{'li': ['nested-list']}",<class 'list'>
Sort lists in the list `unsorted_list` by the element at index 3 of each list,unsorted_list.sort(key=lambda x: x[3]),"{'unsorted_list': ['nested-list']}",<class 'NoneType'>
Sort dictionary `x` by value in ascending order,"sorted(list(x.items()), key=operator.itemgetter(1))","{'x': ['dict']}",<class 'list'>
